,title,url,date,coin,relevance,strength,sentiment
43,new type of stellar explosion discovered,http://www.ecns.cn/hd/2022-04-22/detail-ihaxrxye1100982.shtml,2022-04-22,stellar,0.4860702446741012,0,0
44,"bitcoin falls 5 . 3 % to $39 , 881",https://www.933thedrive.com/2022/04/11/bitcoin-falls-5-3-to-39881/,2022-04-11,bitcoin,0.5137733221054077,0,-1
45,"bitcoin by bitcoin , restaurants start to accept cryptocurrencies",https://www.nbcnews.com/business/bitcoin-bitcoin-restaurants-start-accept-cryptocurrencies-rcna21211,2022-04-11,bitcoin,0.4896707528633328,0,1
46,"bitcoin by bitcoin , restaurants start to accept cryptocurrencies",https://news.yahoo.com/bitcoin-bitcoin-restaurants-start-accept-185750912.html,2022-04-11,bitcoin,0.4896707528633328,0,1
47,"why bitcoin , ethereum , and dogecoin are down today",https://www.fool.com/investing/2022/04/11/time-sensitive-why-bitcoin-ethereum-and-dogecoin-a/,2022-04-11,ethereum,0.5195369434080687,0,-1
48,ethereumÂ processed 4 . 5x more transactions than visa in 2021,https://techstory.in/ethereum-processed-4-5x-more-transactions-than-visa-in-2021/,2022-04-11,ethereum,0.3806662261486053,0,1
49,block announces three cash app services to ease bitcoin investing,https://www.businessinsider.com/block-announces-three-cash-app-services-to-ease-bitcoin-investing-2022-4,2022-04-11,bitcoin cash,0.3899985566319988,0,1
50,"bitcoin falls 5 . 3 % to $39 , 881",https://www.933thedrive.com/2022/04/11/bitcoin-falls-5-3-to-39881/,2022-04-11,bitcoin sv,0.5137733221054077,0,-1
51,"bitcoin by bitcoin , restaurants start to accept cryptocurrencies",https://www.nbcnews.com/business/bitcoin-bitcoin-restaurants-start-accept-cryptocurrencies-rcna21211,2022-04-11,bitcoin sv,0.4896707528633328,0,1
52,"bitcoin by bitcoin , restaurants start to accept cryptocurrencies",https://news.yahoo.com/bitcoin-bitcoin-restaurants-start-accept-185750912.html,2022-04-11,bitcoin sv,0.4896707528633328,0,1
53,how to trade polkadot price and yield 60 % returns,https://www.fxstreet.com/cryptocurrencies/news/how-to-trade-polkadot-price-and-yield-60-returns-202204110945,2022-04-11,polkadot,0.5413781404495239,0,0
54,"why polkadot , cardano , and solana all dropped today",https://www.fool.com/investing/2022/04/11/why-polkadot-cardano-and-solana-all-dropped-today/?source=iedfolrf0000001,2022-04-11,polkadot,0.517475426197052,0,-1
55,the coin analyst : collecting modern ukrainian coins,https://coinweek.com/world-coins/the-coin-analyst-collecting-modern-ukrainian-coins/,2022-04-11,binance coin,0.4133287589848742,0,0
56,the coin analyst : collecting modern ukrainian coins,https://coinweek.com/world-coins/the-coin-analyst-collecting-modern-ukrainian-coins/,2022-04-11,usd coin,0.3966631726774041,0,0
57,shipbuilding market to reach usd 195 . 48 billion by 2030 registering a cagr of 3 . 2 % ,https://finance.yahoo.com/news/shipbuilding-market-reach-usd-195-130000088.html,2022-04-11,usd coin,0.2781193485869639,0,1
58,monero is down by 4 . 22 % - time to buy xmr ? ,https://www.economywatch.com/news/monero-is-down-by-4-22-time-to-buy-xmr,2022-04-11,monero,0.596778929233551,0,0
59,yes to investing in seesaw protocol and monero â maybe for bnb,https://punchng.com/yes-to-investing-in-seesaw-protocol-and-monero-maybe-for-bnb/,2022-04-11,monero,0.4014464616775513,0,0
60,dash price tops $102 . 69 on major exchanges ( dash ) ,https://www.etfdailynews.com/2022/04/11/dash-price-tops-102-69-on-major-exchanges-dash/,2022-04-11,dash,0.8948184189092171,0,0
61,tranglo launches a new business payment solution in partnership with ripple,https://coinjournal.net/news/tranglo-launches-a-new-business-payment-solution-in-partnership-with-ripple/,2022-04-11,ripple,0.3735388815402985,0,1
62,what cardano price needs to do to break out to $1 . 60,https://www.fxstreet.com/cryptocurrencies/news/what-cardano-price-needs-to-do-to-break-out-to-160-202204110841,2022-04-11,cardano,0.5450607538223267,0,0
63,cardano ( ada ) trading down 20 . 5 % over last week,https://www.etfdailynews.com/2022/04/11/cardano-ada-trading-down-20-5-over-last-week/,2022-04-11,cardano,0.4680429399013519,0,-1
64,"why polkadot , cardano , and solana all dropped today",https://www.fool.com/investing/2022/04/11/why-polkadot-cardano-and-solana-all-dropped-today/?source=iedfolrf0000001,2022-04-11,cardano,0.4449451267719269,0,-1
65,"sonic the hedgehog 2 has stellar opening , performs better than first movie",https://www.wuuqradio.com/i/sonic-the-hedgehog-2-has-stellar-opening-performs-better-than-first-movie/,2022-04-11,stellar,0.3370239436626434,0,1
66,what is the future of bitcoin ? ,https://marketbusinessnews.com/what-is-the-future-of-bitcoin/295536/,2022-04-07,bitcoin,0.5037618279457092,1,0
67,celsius unveils wrapped bitcoin at bitcoin 2022,https://www.prnewswire.com:443/news-releases/celsius-unveils-wrapped-bitcoin-at-bitcoin-2022-301520511.html,2022-04-07,bitcoin,0.4547214806079865,1,1
68,"how are people making money from bitcoin , ethereum ? ",https://www.wptv.com/money/crypto-mining-101-how-are-people-make-money-from-bitcoin-ethereum,2022-04-07,ethereum,0.4463651180267334,1,0
69,litecoin price risks 20 % drop as ltc whale activity spikes to monthly highs,https://www.today.ng/business/cryptocurrency/litecoin-price-risks-20-drop-ltc-whale-activity-spikes-monthly-highs-417365,2022-04-07,litecoin,0.3835780024528504,1,-1
70,cash app users can now invest paychecks into bitcoin,https://cointelegraph.com/news/cash-app-users-can-now-invest-paychecks-into-bitcoin,2022-04-07,bitcoin cash,0.4512011690186194,1,1
71,cash app users can now invest their paychecks into bitcoin,https://www.forbes.com/sites/ninabambysheva/2022/04/07/cash-app-users-can-now-invest-their-paychecks-into-bitcoin/,2022-04-07,bitcoin cash,0.4512011690186194,1,1
72,what is the future of bitcoin ? ,https://marketbusinessnews.com/what-is-the-future-of-bitcoin/295536/,2022-04-07,bitcoin sv,0.5037618279457092,1,0
73,celsius unveils wrapped bitcoin at bitcoin 2022,https://www.prnewswire.com:443/news-releases/celsius-unveils-wrapped-bitcoin-at-bitcoin-2022-301520511.html,2022-04-07,bitcoin sv,0.4547214806079865,1,1
74,"cryptocurrencies price prediction : algorand , loopring & polkadot asian wrap 07 apr",https://www.fxstreet.com/cryptocurrencies/news/cryptocurrencies-price-prediction-algorand-loopring-polkadot-asian-wrap-07-apr-202204070031,2022-04-07,polkadot,0.3417218531204374,1,0
75,binance : crypto plays key role in humanitarian aid : binance donates $2 . 5 mn worth of stablecoins for relief efforts in ukraine,https://timesofindia.indiatimes.com/business/india-business/crypto-plays-key-role-in-humanitarian-aid-binance-donates-2-5-mn-worth-of-stablecoins-for-relief-efforts-in-ukraine/articleshow/90702342.cms,2022-04-07,binance coin,0.3211709649020696,1,1
76,signature chain ( sign ) market cap achieves $1 . 73 million,https://www.etfdailynews.com/2022/04/07/signature-chain-sign-market-cap-achieves-1-73-million/,2022-04-07,ve chain,0.3931382596492767,1,1
77,tezos ( xtz ) trading 15 % lower over last 7 days,https://www.etfdailynews.com/2022/04/06/tezos-xtz-trading-15-lower-over-last-7-days/,2022-04-07,tezos,0.5197072625160217,1,0
78,blockchain devices market is expected to reach the value of 9 . 7 billion usd by the end of 2027 . ,https://www.digitaljournal.com/pr/blockchain-devices-market-is-expected-to-reach-the-value-of-9-7-billion-usd-by-the-end-of-2027,2022-04-07,usd coin,0.280315630751291,1,1
79,zcash trading down 14 . 2 % over last 7 days ( zec ) ,https://www.etfdailynews.com/2022/04/07/zcash-trading-down-14-2-over-last-7-days-zec/,2022-04-07,zcash,0.5254624485969543,1,-1
80,how to buy cardano in 2022 â our top 3 sites,https://www.heraldscotland.com/news/20050027.buy-cardano-2022---top-3-sites/,2022-04-07,cardano,0.5363679528236389,1,0
81,cardano ( ada ) price down 10 . 8 % over last week,https://www.etfdailynews.com/2022/04/07/cardano-ada-price-down-10-8-over-last-week/,2022-04-07,cardano,0.4860204160213471,1,-1
82,"bitcoin mining in norway - bitcoin magazine : bitcoin news , articles , charts , and guides",https://bitcoinmagazine.com/business/bitcoin-mining-in-norway,2022-04-20,bitcoin,0.4924822151660919,1,0
83,here why ethereum looks set for a trend change,https://www.theepochtimes.com/heres-why-ethereum-looks-set-for-a-trend-change_4414367.html,2022-04-20,ethereum,0.3987774252891541,1,1
84,"bitcoin mining in norway - bitcoin magazine : bitcoin news , articles , charts , and guides",https://bitcoinmagazine.com/business/bitcoin-mining-in-norway,2022-04-20,bitcoin sv,0.4924822151660919,1,0
85,largest cryptocurrencies mixed as polkadot increases,https://www.marketwatch.com/story/largest-cryptocurrencies-mixed-as-polkadot-increases-01650463229-463ef08c914d,2022-04-20,polkadot,0.4950388371944428,1,0
86,why polkadot price faces an uphill battle to $30,https://www.fxstreet.com/cryptocurrencies/news/why-polkadot-price-faces-an-uphill-battle-to-30-202204200254,2022-04-20,polkadot,0.46981081366539,1,0
87,slave - coin or freedom - coin : which way western man ? ,https://www.zerohedge.com/crypto/slave-coin-or-freedom-coin-which-way-western-man,2022-04-20,binance coin,0.3879757763008638,1,0
88,"sponsored : hottest defi coins this april - parody coin , fantom and terra",https://punchng.com/sponsored-hottest-defi-coins-this-april-parody-coin-fantom-and-terra/,2022-04-20,binance coin,0.3442368051106672,1,0
89,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.phoenixherald.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-20,ve chain,0.4716548323631287,1,0
90,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.albuquerqueexpress.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-20,ve chain,0.4716548323631287,1,0
91,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.theusnews.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-20,ve chain,0.4716548323631287,1,0
92,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.stlouisstar.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-20,ve chain,0.4716548323631287,1,0
93,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.dallassun.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-20,ve chain,0.4716548323631287,1,0
94,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.clevelandstar.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-20,ve chain,0.4716548323631287,1,0
95,how to get the relic tether - destiny 2,https://www.shacknews.com/article/129908/how-to-get-the-relic-tether-destiny-2,2022-04-20,tether,0.4621140360832214,1,0
96,the sandbox plans to raise $400m usd for $4 billion usd valuation,https://hypebeast.com/2022/4/the-sandbox-raises-plans-to-raise-400-million-usd-four-billion-usd-valuation,2022-04-20,usd coin,0.508763926240133,1,1
97,slave - coin or freedom - coin : which way western man ? ,https://www.zerohedge.com/crypto/slave-coin-or-freedom-coin-which-way-western-man,2022-04-20,usd coin,0.3723324327284743,1,0
98,"sponsored : hottest defi coins this april - parody coin , fantom and terra",https://punchng.com/sponsored-hottest-defi-coins-this-april-parody-coin-fantom-and-terra/,2022-04-20,usd coin,0.3303570349251391,1,0
99,what is pancakeswap and top 5 new coins in april 2022 ! ,https://www.trend-online.com/cryptocurrency/what-is-pancakeswap-and-its-top-coins/,2022-04-20,usd coin,0.2825283188930675,1,0
100,ripple lawsuit : victory around the corner,https://www.msn.com/en-ca/money/topstories/ripple-lawsuit-victory-around-the-corner/ar-AAWoXDt,2022-04-20,ripple,0.3881589703654629,1,0
101,"bitcoin  tribalism  is holding the crypto industry back , ripple ceo says",https://forextv.com/bitcoin-news/bitcoin-tribalism-is-holding-the-crypto-industry-back-ripple-ceo-says/,2022-04-20,ripple,0.380510687828064,1,1
102,"bitcoin  tribalism  is holding the crypto industry back , ripple ceo says",https://www.msn.com/en-us/money/companies/bitcoin-tribalism-is-holding-the-crypto-industry-back-ripple-ceo-says/ar-AAWogg3,2022-04-20,ripple,0.380510687828064,1,1
103,"top 3 price prediction bitcoin , ethereum , ripple : has a new crypto bull run begun ? ",https://www.fxstreet.com/cryptocurrencies/news/top-3-price-prediction-bitcoin-ethereum-ripple-has-a-new-crypto-bull-run-begun-202204200857,2022-04-20,ripple,0.3637018501758576,1,0
104,"cardano price loading up for a 50 % rally , targets $1 . 40",https://www.fxstreet.com/cryptocurrencies/news/cardano-price-loading-up-for-a-50-rally-targets-140-202204202001,2022-04-20,cardano,0.4292182326316833,1,0
105,"cardano network is doing well , but there a long way to go",https://www.businessinsider.in/investment/news/cardanos-network-is-doing-well-but-theres-a-long-way-to-go/articleshow/90957573.cms,2022-04-20,cardano,0.4225306808948517,1,0
106,astronomers discover new type of stellar explosion,https://article.wn.com/view/2022/04/20/Astronomers_discover_new_type_of_stellar_explosion/,2022-04-20,stellar,0.4404425024986267,1,0
107,astronomers discover new kind of stellar explosion called a  micronova  ,https://whatsnew2day.com/astronomers-discover-new-kind-of-stellar-explosion-called-a-micronova/,2022-04-20,stellar,0.3743729591369629,1,0
108,astronomers discover new kind of stellar explosion called a  micronova  ,https://www.dailymail.co.uk/sciencetech/article-10735775/Astronomers-discover-new-kind-stellar-explosion.html,2022-04-20,stellar,0.3743729591369629,1,0
109,"astronomers discover micronovae , a new kind of stellar explosion",https://www.eso.org/public/news/eso2207/,2022-04-20,stellar,0.3741532787175941,1,0
110,"astronomers discover micronovae , a new kind of stellar explosion",https://phys.org/news/2022-04-astronomers-micronovae-kind-stellar-explosion.html,2022-04-20,stellar,0.3741532787175941,1,0
111,pow ! scientists spot new  micronova  stellar explosion,https://www.space.com/micronova-new-type-small-stellar-explosions,2022-04-20,stellar,0.3729648292064667,1,0
112,the chrysalis brew project receives 2022 stellar business award,https://www.digitaljournal.com/pr/the-chrysalis-brew-project-receives-2022-stellar-business-award,2022-04-20,stellar,0.3503023386001587,1,1
113,"microbt announces m50 bitcoin miners - bitcoin magazine : bitcoin news , articles , charts , and guides",https://bitcoinmagazine.com/business/microbt-announces-m50-bitcoin-miners,2022-04-06,bitcoin,0.4746689796447754,1,0
114,"why bitcoin , ethereum , dogecoin , and shiba inu are down today",https://www.fool.com/investing/2022/04/06/why-bitcoin-ethereum-and-shiba-inu-are-down-today/,2022-04-06,ethereum,0.3839755952358246,1,-1
115,"why bitcoin , ethereum , dogecoin , and shiba inu are down today",https://www.fool.com/investing/2022/04/06/why-bitcoin-ethereum-and-shiba-inu-are-down-today/?source=iedfolrf0000001,2022-04-06,ethereum,0.3839755952358246,1,-1
116,"why bitcoin -, ethereum - and litecoin - related stocks are falling",https://markets.businessinsider.com/news/stocks/why-bitcoin--ethereum--and-litecoin-related-stocks-are-falling-1031337259,2022-04-06,litecoin,0.5722813606262207,1,-1
117,litecoin cash ( lcc ) market cap hits $6 . 05 million,https://www.etfdailynews.com/2022/04/06/litecoin-cash-lcc-market-cap-hits-6-05-million/,2022-04-06,litecoin,0.4970439970493317,1,1
118,bitcoin cash price down 3 . 4 % over last 7 days ( bch ) ,https://www.etfdailynews.com/2022/04/06/bitcoin-cash-price-down-3-4-over-last-7-days-bch/,2022-04-06,bitcoin cash,0.500090958396945,1,-1
119,"microbt announces m50 bitcoin miners - bitcoin magazine : bitcoin news , articles , charts , and guides",https://bitcoinmagazine.com/business/microbt-announces-m50-bitcoin-miners,2022-04-06,bitcoin sv,0.4746689796447754,1,0
120,"why solana , polkadot , and cardano are down big today",https://www.fool.com/investing/2022/04/06/why-solana-polkadot-and-cardano-are-down-big-today/?source=iedfolrf0000001,2022-04-06,polkadot,0.5315296053886414,1,0
121,bitcoin cash price down 3 . 4 % over last 7 days ( bch ) ,https://www.etfdailynews.com/2022/04/06/bitcoin-cash-price-down-3-4-over-last-7-days-bch/,2022-04-06,chainlink,0.0,1,-1
122,off the chain capital announces 5 year financial performance,https://www.prnewswire.com:443/news-releases/off-the-chain-capital-announces-5-year-financial-performance-301518991.html,2022-04-06,ve chain,0.4259279072284698,1,1
123,off the chain capital announces 5 year financial performance,https://markets.businessinsider.com/news/stocks/off-the-chain-capital-announces-5-year-financial-performance-1031336867,2022-04-06,ve chain,0.4259279072284698,1,1
124,off the chain capital announces 5 year financial performance,https://www.prnewswire.com/news-releases/off-the-chain-capital-announces-5-year-financial-performance-301518991.html,2022-04-06,ve chain,0.4259279072284698,1,1
125,"neo financial launches neo invest , canada first actively managed digital investment platform",https://www.businesswire.com/news/home/20220406005493/en/Neo-Financial-Launches-Neo-Invest-Canada%E2%80%99s-First-Actively-Managed-Digital-Investment-Platform,2022-04-06,neo,0.6963469386100769,1,1
126,bitcoin cash price down 3 . 4 % over last 7 days ( bch ) ,https://www.etfdailynews.com/2022/04/06/bitcoin-cash-price-down-3-4-over-last-7-days-bch/,2022-04-06,neo,0.0,1,-1
127,long ethereum ( eth / usd ): top trade opportunities,https://www.dailyfx.com/forex/fundamental/article/special_report/2022/04/06/Long-Ethereum-ETHUSD-Top-Trade-Opportunities.html,2022-04-06,usd coin,0.3094336256265061,1,1
128,bitcoin cash price down 3 . 4 % over last 7 days ( bch ) ,https://www.etfdailynews.com/2022/04/06/bitcoin-cash-price-down-3-4-over-last-7-days-bch/,2022-04-06,monero,0.0,1,-1
129,bitcoin cash price down 3 . 4 % over last 7 days ( bch ) ,https://www.etfdailynews.com/2022/04/06/bitcoin-cash-price-down-3-4-over-last-7-days-bch/,2022-04-06,dash,0.0,1,-1
130,"why solana , polkadot , and cardano are down big today",https://www.fool.com/investing/2022/04/06/why-solana-polkadot-and-cardano-are-down-big-today/?source=iedfolrf0000001,2022-04-06,cardano,0.4570294618606568,1,0
131,"bitcoin is our weapon in the war of ideas - bitcoin magazine : bitcoin news , articles , charts , and guides",https://bitcoinmagazine.com/culture/bitcoin-is-our-weapon-in-the-war-of-ideas,2022-04-19,bitcoin,0.4692711513800115,1,0
132,which crypto to invest in other than bitcoin ? ,https://menafn.com/1104029853/Which-crypto-to-invest-in-other-than-Bitcoin&source=138,2022-04-19,bitcoin,0.4571495056152344,1,0
133,how to exchange bitcoin to ethereum ? ,https://marketbusinessnews.com/how-to-exchange-bitcoin-to-ethereum/296338/,2022-04-19,ethereum,0.6786340475082397,1,0
134,searches for  sell ethereum  explode 1636 % in one day as ethereum drops over 6 % ,https://www.valuewalk.com/searches-for-sell-ethereum-explode-1636-in-one-day-as-ethereum-drops-over-6/,2022-04-19,ethereum,0.5493136971779882,1,0
135,"bitcoin is our weapon in the war of ideas - bitcoin magazine : bitcoin news , articles , charts , and guides",https://bitcoinmagazine.com/culture/bitcoin-is-our-weapon-in-the-war-of-ideas,2022-04-19,bitcoin sv,0.4692711513800115,1,0
136,which crypto to invest in other than bitcoin ? ,https://menafn.com/1104029853/Which-crypto-to-invest-in-other-than-Bitcoin&source=138,2022-04-19,bitcoin sv,0.4571495056152344,1,0
